nivel;confiabilidade;FAIXA_SCORE;OPERACAO;IDENTIFICA_GRUPO_MODELO;CANAL_PCO_AJUSTADO;taxa_conversao_ref;taxa_fpd_ref;n_aprovados;n_convertidos;n_maus;vars_usadas
1;ALTA;R05;MOVEL;G4 - PRE PAGO SEM DIVIDA;CROSSELING;0.3746309611;0.2506953458;28791;10786;2704;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G4 - PRE PAGO SEM DIVIDA;DIGITAL;0.8228555985;0.1830928981;48102;39581;7247;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G4 - PRE PAGO SEM DIVIDA;OUTBOUND;0.5864650617;0.2405506884;6812;3995;961;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G4 - PRE PAGO SEM DIVIDA;OUTROS;0.4759374879;0.1318341074;25787;12273;1618;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G4 - PRE PAGO SEM DIVIDA;URA_ATIVACAO;0.1383907316;0.4633027523;6301;872;404;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G5 - CLIENTE COM DIVIDA;CROSSELING;0.297697614;0.1708295717;33487;9969;1703;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G5 - CLIENTE COM DIVIDA;DIGITAL;0.6045756317;0.178780218;20937;12658;2263;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G5 - CLIENTE COM DIVIDA;OUTBOUND;0.3907875186;0.2737642586;4038;1578;432;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G5 - CLIENTE COM DIVIDA;OUTROS;0.3734763776;0.1395819285;39708;14830;2070;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G5 - CLIENTE COM DIVIDA;URA_ATIVACAO;0.2520491803;0.3495934959;976;246;86;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G6 - EX CLIENTE COM DIVIDA;CROSSELING;0.3848202397;0.3598615917;751;289;104;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G6 - EX CLIENTE COM DIVIDA;DIGITAL;0.6489285714;0.4859658778;2800;1817;883;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G6 - EX CLIENTE COM DIVIDA;OUTBOUND;0.5305199699;0.4588068182;1327;704;323;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G6 - EX CLIENTE COM DIVIDA;OUTROS;0.5103506548;0.1839817881;9468;4832;889;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G7 - PRE PAGO COM DIVIDA;CROSSELING;0.4028822055;0.3284603421;7980;3215;1056;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
1;ALTA;R05;MOVEL;G7 - PRE PAGO COM DIVIDA;DIGITAL;0.8065557237;0.2617231462;9915;7997;2093;FAIXA_SCORE OPERACAO IDENTIFICA_GRUPO_MODELO CANAL_PCO_AJUSTADO
